"candidate_id","candidate_name","email","experience_years","education","location_id","work_authorization_id","source_id","applied_date","candidate_status","total_applications","rejected_applications","withdrawn_applications","hired_applications","total_offers","total_placements","average_offered_salary","candidate_age_days"
2319,John Moore,john.moore2318@hotmail.com,9,Bachelor's Degree,11,7,8,2025-03-23,Screening,7,0,0,0,1,1,122000.00,508
266,William Moore,william.moore265@hotmail.com,11,MS,14,3,2,2026-04-13,Interview,7,1,0,0,1,1,173000.00,122
1307,Ashley Anderson,ashley.anderson1306@yahoo.com,13,MS Computer Science,8,1,8,2025-07-28,Withdrawn,7,0,0,0,1,1,185000.00,381
6731,Rebecca Harris,rebecca.harris6730@hotmail.com,6,MCA,5,3,7,2026-02-14,Rejected,6,1,0,1,1,1,151000.00,180
7104,Karan Patel,karan.patel7103@yahoo.com,14,MS,3,1,9,2025-05-07,Active,6,0,1,1,1,1,150000.00,463
3667,Andrew Kumar,andrew.kumar3666@hotmail.com,6,Master's Degree,19,4,2,2026-05-26,Withdrawn,6,0,0,0,1,1,115000.00,79
3249,Ananya Singh,ananya.singh3248@hotmail.com,6,M.Tech,9,1,1,2025-12-29,Active,6,0,0,1,1,1,113000.00,227
433,David Jackson,david.jackson432@outlook.com,6,MCA,17,4,5,2026-04-08,Interview,6,1,0,0,1,1,101000.00,127
9824,James Wright,james.wright9823@gmail.com,5,BCA,19,6,4,2026-03-26,Rejected,6,0,1,1,1,1,110000.00,140
7029,Charles Kumar,charles.kumar7028@gmail.com,6,BS Computer Science,6,2,9,2026-02-20,Active,6,0,0,1,1,1,148000.00,174
7069,Jessica Singh,jessica.singh7068@outlook.com,11,B.E.,2,6,9,2026-06-27,Active,6,2,0,1,1,1,130000.00,47
4840,Michelle Young,michelle.young4839@hotmail.com,8,MS Computer Science,6,4,6,2026-02-10,Active,6,0,0,0,1,1,157000.00,184
8621,Rachel Johnson,rachel.johnson8620@hotmail.com,11,M.Tech,11,4,1,2026-05-15,Rejected,6,0,0,0,1,1,188000.00,90
4299,Priya Moore,priya.moore4298@hotmail.com,8,B.Tech,5,3,5,2025-05-17,Withdrawn,6,2,0,0,1,1,158000.00,453
9677,Sarah Reddy,sarah.reddy9676@hotmail.com,6,BS Computer Science,6,1,5,2025-02-03,Screening,6,1,0,1,1,1,141000.00,556
7681,Vikram Davis,vikram.davis7680@outlook.com,5,MCA,12,5,3,2025-06-09,Active,6,1,0,0,1,1,92000.00,430
9181,Priya Thomas,priya.thomas9180@hotmail.com,10,Master's Degree,21,6,9,2025-09-19,Rejected,6,1,1,0,1,1,169000.00,328
1348,Joshua Williams,joshua.williams1347@yahoo.com,6,B.Tech,5,7,9,2025-01-20,Rejected,6,0,0,0,1,1,117000.00,570
7683,Amit Smith,amit.smith7682@outlook.com,14,M.Tech,3,1,7,2025-12-04,Screening,6,1,0,0,1,1,149000.00,252
2355,Melissa King,melissa.king2354@outlook.com,14,MS,6,4,1,2025-11-16,Withdrawn,6,0,0,0,1,1,149000.00,270
1618,James Garcia,james.garcia1617@yahoo.com,9,MCA,15,1,6,2025-02-27,Active,6,3,1,0,1,1,119000.00,532
6243,Robert Nair,robert.nair6242@gmail.com,9,M.Tech,11,7,2,2025-08-06,Active,6,0,0,0,1,1,140000.00,372
8025,Daniel Wright,daniel.wright8024@outlook.com,9,BS Computer Science,20,7,2,2026-04-02,Withdrawn,6,0,1,0,1,1,102000.00,133
9264,Rahul Kumar,rahul.kumar9263@outlook.com,4,Bachelor's Degree,3,3,4,2025-04-19,Active,6,0,0,0,1,1,117000.00,481
6408,James Young,james.young6407@yahoo.com,12,MBA,4,3,5,2025-07-31,Rejected,6,1,0,0,1,1,159000.00,378
1276,Joshua Allen,joshua.allen1275@gmail.com,8,BS Computer Science,11,7,3,2025-12-30,Screening,6,1,1,0,1,1,105000.00,226
7430,Rebecca Smith,rebecca.smith7429@hotmail.com,4,Master's Degree,14,7,4,2025-11-05,Interview,6,0,0,0,1,1,115000.00,281
4513,Melissa Gupta,melissa.gupta4512@outlook.com,4,B.Tech,10,4,1,2026-03-29,Interview,6,0,0,0,1,1,83000.00,137
1687,Richard Clark,richard.clark1686@gmail.com,6,BS Computer Science,20,1,1,2025-12-14,Offer,5,0,0,0,1,1,126000.00,242
6139,Elizabeth Harris,elizabeth.harris6138@gmail.com,8,B.E.,21,1,5,2026-03-19,Hired,5,0,1,1,1,1,109000.00,147
785,Joseph Harris,joseph.harris784@gmail.com,6,M.Tech,3,2,7,2025-09-18,Hired,5,0,0,0,1,1,137000.00,329
9046,Lauren Hall,lauren.hall9045@outlook.com,9,B.Tech,11,5,6,2026-07-20,Rejected,5,0,0,0,1,1,159000.00,24
4190,Amit Jones,amit.jones4189@outlook.com,9,MS Computer Science,20,6,6,2025-10-22,Offer,5,0,0,1,1,1,114000.00,295
9508,Donald Nair,donald.nair9507@yahoo.com,5,MS Computer Science,9,1,5,2026-04-01,Rejected,5,0,0,0,1,1,106000.00,134
793,John Taylor,john.taylor792@gmail.com,5,MCA,7,5,7,2026-07-09,Screening,5,1,1,0,1,1,97000.00,35
8,Mark Singh,mark.singh7@hotmail.com,11,Master's Degree,21,2,4,2026-03-15,Withdrawn,5,0,0,0,1,1,164000.00,151
3519,Priya Lee,priya.lee3518@hotmail.com,10,BS Computer Science,21,7,7,2026-02-05,Screening,5,0,0,0,1,1,172000.00,189
1610,Joseph Gupta,joseph.gupta1609@outlook.com,12,M.Tech,2,5,4,2025-04-07,Active,5,0,2,0,1,1,145000.00,493
5864,Andrew Garcia,andrew.garcia5863@yahoo.com,11,Master's Degree,15,7,3,2026-06-12,Active,5,1,0,0,1,1,184000.00,62
7397,Charles Anderson,charles.anderson7396@hotmail.com,8,BS Computer Science,8,2,5,2026-04-23,Active,5,0,1,0,1,1,121000.00,112
2148,Matthew Martin,matthew.martin2147@hotmail.com,9,M.Tech,21,7,4,2026-05-11,Active,5,1,0,1,1,1,143000.00,94
2775,Lauren Wilson,lauren.wilson2774@yahoo.com,12,MS Computer Science,13,5,2,2025-08-13,Active,5,0,0,0,1,1,141000.00,365
5032,Matthew Verma,matthew.verma5031@yahoo.com,5,MBA,9,2,5,2026-07-14,Rejected,5,0,1,1,1,1,117000.00,30
2805,Rahul King,rahul.king2804@yahoo.com,8,MS,15,6,5,2025-03-17,Offer,5,2,0,0,1,1,121000.00,514
5249,Mark Walker,mark.walker5248@outlook.com,4,Master's Degree,7,4,6,2025-06-10,Rejected,5,2,0,0,1,1,84000.00,429
8581,Melissa Verma,melissa.verma8580@gmail.com,9,B.E.,9,5,1,2025-09-11,Rejected,5,0,0,0,1,1,137000.00,336
8721,Michael Harris,michael.harris8720@gmail.com,5,Bachelor's Degree,9,7,8,2026-02-16,Active,5,0,0,0,1,1,114000.00,178
1874,Michael Davis,michael.davis1873@yahoo.com,3,BCA,10,6,5,2026-01-25,Rejected,5,0,0,1,1,1,98000.00,200
4240,Michelle Wright,michelle.wright4239@outlook.com,6,Bachelor's Degree,13,3,1,2025-06-19,Screening,5,0,0,1,1,1,148000.00,420
6388,Jennifer Kumar,jennifer.kumar6387@gmail.com,4,MCA,8,2,4,2026-07-29,Screening,5,0,1,0,1,1,96000.00,15
8518,Elizabeth Smith,elizabeth.smith8517@outlook.com,13,MBA,5,5,2,2025-12-08,Hired,5,1,0,0,1,1,185000.00,248
9474,Thomas Smith,thomas.smith9473@gmail.com,7,BS Computer Science,19,6,1,2026-05-30,Interview,5,2,0,0,1,1,109000.00,75
8828,Ananya Mehta,ananya.mehta8827@outlook.com,12,BS Computer Science,15,2,3,2025-08-31,Active,5,1,1,0,1,1,165000.00,347
4556,Steven Clark,steven.clark4555@outlook.com,7,BS Computer Science,14,2,1,2025-08-15,Rejected,5,2,0,0,1,1,106000.00,363
6611,William Jackson,william.jackson6610@gmail.com,2,MBA,12,1,4,2026-04-27,Hired,5,1,1,1,1,1,76000.00,108
2092,Michael Williams,michael.williams2091@gmail.com,9,BCA,7,7,6,2025-09-07,Withdrawn,5,0,0,0,1,1,146000.00,340
8113,David Verma,david.verma8112@gmail.com,14,B.Tech,5,7,8,2026-01-14,Hired,5,1,0,0,1,1,130000.00,211
9760,Neha Johnson,neha.johnson9759@yahoo.com,14,MS Computer Science,21,2,2,2026-05-20,Screening,5,0,0,0,1,1,145000.00,85
6916,Rebecca Williams,rebecca.williams6915@yahoo.com,9,BS Computer Science,19,6,6,2026-02-15,Active,5,2,0,0,1,1,148000.00,179
6912,Ananya Garcia,ananya.garcia6911@yahoo.com,2,B.E.,4,7,7,2025-11-03,Rejected,5,1,0,1,1,1,78000.00,283
7537,Sarah Smith,sarah.smith7536@outlook.com,8,BS Computer Science,18,2,9,2026-04-26,Interview,5,0,0,1,1,1,138000.00,109
3739,Elizabeth Walker,elizabeth.walker3738@gmail.com,6,MBA,15,7,7,2025-12-27,Rejected,5,0,0,0,1,1,114000.00,229
4991,Michelle Gupta,michelle.gupta4990@hotmail.com,6,MS,20,6,5,2025-06-25,Hired,5,0,1,0,1,1,158000.00,414
7599,William Patel,william.patel7598@hotmail.com,9,BS Computer Science,10,1,8,2025-06-10,Rejected,5,0,0,0,1,1,102000.00,429
3197,Arjun Walker,arjun.walker3196@gmail.com,12,MS,20,7,2,2026-02-16,Screening,5,0,0,0,1,1,183000.00,178
5598,Neha Williams,neha.williams5597@yahoo.com,13,Master's Degree,14,6,7,2026-01-27,Hired,5,1,0,1,1,1,170000.00,198
7882,Daniel Brown,daniel.brown7881@gmail.com,5,B.E.,20,5,3,2025-08-07,Hired,5,0,0,0,1,1,91000.00,371
6667,Ashley Singh,ashley.singh6666@hotmail.com,4,M.Tech,19,7,7,2025-01-26,Rejected,4,0,1,0,1,1,111000.00,564
8825,Sarah Williams,sarah.williams8824@hotmail.com,7,Master's Degree,9,6,1,2025-04-01,Interview,4,0,0,0,1,1,121000.00,499
5041,Joseph Smith,joseph.smith5040@yahoo.com,11,MS,4,2,1,2025-11-27,Withdrawn,4,0,1,1,1,1,156000.00,259
4062,Joseph Williams,joseph.williams4061@yahoo.com,11,B.E.,16,1,3,2025-08-04,Rejected,4,0,0,0,1,1,159000.00,374
8788,Jennifer Young,jennifer.young8787@outlook.com,8,MBA,17,2,2,2025-04-01,Active,4,1,0,0,1,1,145000.00,499
8782,Megan Harris,megan.harris8781@hotmail.com,11,Master's Degree,19,5,6,2025-03-23,Rejected,4,0,0,1,1,1,178000.00,508
4047,Rebecca Smith,rebecca.smith4046@hotmail.com,12,Master's Degree,7,5,9,2026-02-20,Screening,4,0,1,0,1,1,187000.00,174
8009,Elizabeth Smith,elizabeth.smith8008@gmail.com,8,Master's Degree,11,4,2,2026-01-08,Active,4,0,0,0,1,1,129000.00,217
5661,Robert Harris,robert.harris5660@yahoo.com,8,Bachelor's Degree,18,1,3,2026-03-28,Active,4,1,0,0,1,1,152000.00,138
2375,Robert Brown,robert.brown2374@hotmail.com,8,Bachelor's Degree,20,5,3,2025-10-21,Hired,4,0,0,0,1,1,157000.00,296
7992,Michelle Taylor,michelle.taylor7991@gmail.com,9,BCA,8,6,7,2026-02-12,Withdrawn,4,0,0,1,1,1,159000.00,182
7948,Joseph Singh,joseph.singh7947@yahoo.com,15,BS Computer Science,11,3,1,2025-11-14,Active,4,0,0,0,1,1,159000.00,272
1467,Rebecca Martin,rebecca.martin1466@yahoo.com,11,B.Tech,11,4,2,2025-09-08,Screening,4,0,0,1,1,1,180000.00,339
6040,Neha Williams,neha.williams6039@yahoo.com,2,MS Computer Science,15,6,7,2025-05-06,Screening,4,2,0,0,1,1,57000.00,464
6041,Thomas Patel,thomas.patel6040@yahoo.com,15,MBA,16,5,4,2025-05-28,Hired,4,0,0,0,1,1,166000.00,442
6066,Kevin Garcia,kevin.garcia6065@outlook.com,3,MS,18,7,5,2026-07-21,Rejected,4,0,0,0,1,1,113000.00,23
7869,Steven Brown,steven.brown7868@gmail.com,13,BS Computer Science,17,3,7,2025-06-28,Offer,4,0,0,0,1,1,186000.00,411
9479,Elizabeth Allen,elizabeth.allen9478@outlook.com,4,MS,1,4,3,2025-05-29,Rejected,4,3,0,1,1,1,80000.00,441
7850,Melissa Singh,melissa.singh7849@hotmail.com,3,BS Computer Science,16,1,6,2025-10-22,Active,4,0,1,0,1,1,105000.00,295
6186,Thomas Walker,thomas.walker6185@hotmail.com,11,MS Computer Science,14,3,6,2025-10-08,Screening,4,0,0,0,1,1,141000.00,309
7809,Jessica Verma,jessica.verma7808@hotmail.com,7,MBA,5,1,3,2025-08-30,Screening,4,0,0,0,1,1,154000.00,348
5524,Charles Wilson,charles.wilson5523@yahoo.com,5,B.E.,4,5,4,2025-03-12,Screening,4,0,0,0,1,1,105000.00,519
7751,John Wilson,john.wilson7750@outlook.com,10,Bachelor's Degree,15,5,3,2025-04-21,Rejected,4,1,0,0,1,1,164000.00,479
628,Daniel Kumar,daniel.kumar627@gmail.com,13,B.Tech,13,2,6,2025-06-27,Rejected,4,0,0,0,1,1,184000.00,412
4288,Elizabeth Gupta,elizabeth.gupta4287@outlook.com,8,MCA,20,2,8,2026-06-17,Screening,4,0,0,0,1,1,141000.00,57
6340,Elizabeth Sharma,elizabeth.sharma6339@yahoo.com,10,BS Computer Science,12,7,3,2025-03-27,Screening,4,1,0,1,1,1,154000.00,504
5487,Stephanie Moore,stephanie.moore5486@hotmail.com,12,MS,9,4,1,2025-05-17,Withdrawn,4,0,0,0,1,1,185000.00,453
8088,Sneha Clark,sneha.clark8087@hotmail.com,9,B.Tech,7,2,8,2026-01-28,Hired,4,0,0,2,1,1,106000.00,197
135,Laura Patel,laura.patel134@yahoo.com,7,MCA,16,3,9,2025-08-04,Rejected,4,0,1,0,1,1,128000.00,374
612,Amit Mehta,amit.mehta611@yahoo.com,8,MBA,6,5,7,2025-07-29,Screening,4,0,0,0,1,1,109000.00,380
6859,Elizabeth Walker,elizabeth.walker6858@gmail.com,6,BCA,12,3,8,2025-03-25,Screening,4,0,0,0,1,1,154000.00,506
1656,Melissa Sharma,melissa.sharma1655@outlook.com,9,MS Computer Science,3,1,6,2025-03-22,Rejected,4,0,0,0,1,1,135000.00,509
9581,Laura Jackson,laura.jackson9580@hotmail.com,12,Bachelor's Degree,12,1,5,2025-12-08,Withdrawn,4,0,0,0,1,1,156000.00,248
1660,Melissa Lee,melissa.lee1659@yahoo.com,8,MS Computer Science,19,5,2,2025-09-25,Interview,4,0,0,0,1,1,115000.00,322
19,Jennifer Reddy,jennifer.reddy18@yahoo.com,9,MS Computer Science,11,4,2,2025-02-02,Active,4,1,0,0,1,1,157000.00,557
3079,Anthony Brown,anthony.brown3078@hotmail.com,7,MCA,11,7,5,2025-05-22,Withdrawn,4,0,0,1,1,1,125000.00,448
2514,Laura Wright,laura.wright2513@gmail.com,10,M.Tech,21,7,7,2025-11-20,Active,4,0,0,2,1,1,180000.00,266
9569,Kevin Verma,kevin.verma9568@gmail.com,9,M.Tech,18,4,9,2025-11-20,Hired,4,1,0,0,1,1,104000.00,266
3373,Arjun Jackson,arjun.jackson3372@hotmail.com,11,MCA,15,6,5,2025-12-14,Active,4,0,0,1,1,1,163000.00,242
1668,Amit Kumar,amit.kumar1667@gmail.com,11,MCA,3,2,7,2026-01-08,Active,4,1,0,0,1,1,187000.00,217
6704,David Johnson,david.johnson6703@hotmail.com,6,BCA,20,3,4,2025-10-19,Offer,4,0,0,0,1,1,144000.00,298
6386,John Nair,john.nair6385@gmail.com,11,B.Tech,12,6,9,2025-08-24,Screening,4,0,0,0,1,1,160000.00,354
4649,Kevin Young,kevin.young4648@hotmail.com,9,M.Tech,6,1,8,2026-02-07,Rejected,4,0,0,0,1,1,127000.00,187
5344,Amit Clark,amit.clark5343@yahoo.com,4,BCA,6,2,5,2025-06-12,Screening,4,0,0,0,1,1,111000.00,427
8520,Daniel Williams,daniel.williams8519@gmail.com,7,Master's Degree,11,6,5,2025-12-29,Rejected,4,0,0,0,1,1,113000.00,227
541,Joseph Smith,joseph.smith540@yahoo.com,6,MS,6,2,2,2026-03-13,Rejected,4,0,1,1,1,1,141000.00,153
2885,Rachel Davis,rachel.davis2884@yahoo.com,5,Bachelor's Degree,1,4,4,2025-01-30,Screening,4,0,0,1,1,1,117000.00,560
4755,Stephanie Anderson,stephanie.anderson4754@hotmail.com,13,M.Tech,18,7,9,2025-01-18,Interview,4,0,0,0,1,1,152000.00,572
2862,Andrew Smith,andrew.smith2861@outlook.com,10,BCA,21,5,6,2025-09-29,Active,4,1,0,0,1,1,140000.00,318
1351,Stephanie Davis,stephanie.davis1350@outlook.com,10,Bachelor's Degree,12,4,1,2026-04-03,Withdrawn,4,0,0,0,1,1,186000.00,132
2603,Donald Martin,donald.martin2602@yahoo.com,6,MCA,18,7,6,2025-08-13,Rejected,4,0,0,1,1,1,157000.00,365
2037,Daniel Williams,daniel.williams2036@hotmail.com,14,B.Tech,10,4,5,2026-01-08,Interview,4,0,0,1,1,1,158000.00,217
9212,Anthony Lee,anthony.lee9211@gmail.com,6,M.Tech,16,4,2,2025-01-27,Rejected,4,0,1,0,1,1,105000.00,563
2697,Rebecca Smith,rebecca.smith2696@hotmail.com,13,MBA,1,6,4,2026-05-07,Active,4,0,0,0,1,1,168000.00,98
9512,Ashley Nair,ashley.nair9511@hotmail.com,13,Bachelor's Degree,20,2,7,2025-05-03,Rejected,4,0,0,0,1,1,167000.00,467
6489,Karan Wright,karan.wright6488@gmail.com,7,MS Computer Science,5,1,4,2026-05-18,Active,4,0,0,0,1,1,138000.00,87
5933,Matthew Davis,matthew.davis5932@gmail.com,7,M.Tech,1,1,7,2026-03-16,Active,4,0,0,0,1,1,117000.00,150
6491,Richard Davis,richard.davis6490@gmail.com,9,MS Computer Science,5,7,2,2025-07-24,Active,4,1,0,1,1,1,149000.00,385
6505,Rohan Davis,rohan.davis6504@yahoo.com,2,B.E.,21,2,8,2025-05-24,Screening,4,0,0,0,1,1,66000.00,446
6308,Joshua Davis,joshua.davis6307@gmail.com,14,B.E.,20,5,8,2025-12-12,Withdrawn,4,0,1,1,1,1,137000.00,244
8835,Matthew Thomas,matthew.thomas8834@outlook.com,10,B.Tech,2,1,9,2025-01-09,Hired,4,0,0,0,1,1,141000.00,581
8833,Karan Reddy,karan.reddy8832@outlook.com,14,MBA,21,7,1,2025-04-28,Screening,4,0,0,0,1,1,160000.00,472
3690,Neha Taylor,neha.taylor3689@hotmail.com,13,B.Tech,20,5,6,2025-10-20,Active,4,0,0,1,1,1,150000.00,297
1540,Thomas Johnson,thomas.johnson1539@yahoo.com,3,B.E.,20,5,1,2025-11-27,Interview,3,0,0,0,1,1,101000.00,259
3563,Jennifer Wilson,jennifer.wilson3562@yahoo.com,11,MCA,17,7,1,2025-10-05,Interview,3,1,0,0,1,1,174000.00,312
782,Robert Lewis,robert.lewis781@gmail.com,8,M.Tech,10,5,2,2026-02-20,Rejected,3,0,0,1,1,1,116000.00,174
3710,Ananya Lee,ananya.lee3709@hotmail.com,10,B.Tech,17,6,8,2026-01-23,Rejected,3,1,0,0,1,1,189000.00,202
7687,Rebecca Brown,rebecca.brown7686@yahoo.com,8,M.Tech,19,2,9,2025-07-30,Offer,3,0,0,1,1,1,117000.00,379
8860,Anthony Mishra,anthony.mishra8859@gmail.com,13,Master's Degree,5,4,7,2026-06-21,Offer,3,1,0,1,1,1,180000.00,53
9498,Daniel Kumar,daniel.kumar9497@outlook.com,14,Bachelor's Degree,10,1,8,2025-02-10,Active,3,0,0,0,1,1,160000.00,549
6900,Mark Hall,mark.hall6899@hotmail.com,4,MS,12,4,4,2026-01-02,Active,3,0,0,0,1,1,84000.00,223
47,Donald Thomas,donald.thomas46@outlook.com,7,B.Tech,17,7,8,2025-10-19,Active,3,0,0,0,1,1,115000.00,298
5439,Elizabeth Garcia,elizabeth.garcia5438@gmail.com,14,BS Computer Science,5,3,1,2025-09-27,Interview,3,0,0,0,1,1,153000.00,320
9399,Rebecca Moore,rebecca.moore9398@yahoo.com,3,M.Tech,10,5,3,2026-01-11,Active,3,0,0,0,1,1,84000.00,214
5421,Paul Allen,paul.allen5420@yahoo.com,4,BS Computer Science,12,7,6,2025-07-29,Active,3,0,0,0,1,1,85000.00,380
8536,Amit Martin,amit.martin8535@gmail.com,11,MS Computer Science,10,6,1,2026-05-06,Screening,3,0,0,1,1,1,154000.00,99
1016,Amit Taylor,amit.taylor1015@hotmail.com,11,MBA,1,7,2,2025-10-31,Screening,3,0,0,0,1,1,184000.00,286
5199,Stephanie Lewis,stephanie.lewis5198@gmail.com,2,M.Tech,18,6,3,2025-02-13,Rejected,3,0,0,0,1,1,78000.00,546
5038,Priya Hall,priya.hall5037@gmail.com,7,B.Tech,6,1,6,2026-01-01,Rejected,3,0,0,0,1,1,117000.00,224
3571,Rachel Lewis,rachel.lewis3570@yahoo.com,13,BCA,12,4,1,2025-01-01,Active,3,0,0,1,1,1,171000.00,589
3309,Rohan Lewis,rohan.lewis3308@outlook.com,7,MS,20,2,4,2025-07-04,Interview,3,0,1,0,1,1,117000.00,405
9283,Laura Garcia,laura.garcia9282@yahoo.com,9,M.Tech,1,4,8,2025-05-19,Screening,3,0,0,0,1,1,124000.00,451
7304,Amit Garcia,amit.garcia7303@gmail.com,12,MCA,1,2,4,2025-06-19,Withdrawn,3,0,0,0,1,1,150000.00,420
5276,Arjun King,arjun.king5275@hotmail.com,5,BS Computer Science,5,5,1,2025-02-11,Hired,3,0,0,0,1,1,101000.00,548
8370,Elizabeth Clark,elizabeth.clark8369@outlook.com,15,MCA,5,3,3,2026-01-16,Active,3,0,0,0,1,1,134000.00,209
7268,Andrew Anderson,andrew.anderson7267@gmail.com,10,Master's Degree,6,4,1,2026-05-19,Active,3,0,0,0,1,1,148000.00,86
982,Ananya Lee,ananya.lee981@outlook.com,1,B.Tech,1,2,7,2026-05-06,Active,3,0,0,0,1,1,74000.00,99
4444,Laura Smith,laura.smith4443@yahoo.com,7,MS,18,1,9,2025-11-11,Active,3,0,0,0,1,1,113000.00,275
5057,William Wilson,william.wilson5056@yahoo.com,6,B.Tech,1,4,9,2026-04-29,Hired,3,1,0,0,1,1,153000.00,106
2332,Stephanie Mehta,stephanie.mehta2331@gmail.com,10,M.Tech,4,1,6,2025-04-16,Rejected,3,0,0,0,1,1,174000.00,484
5417,Vikram Brown,vikram.brown5416@yahoo.com,14,MBA,3,4,2,2025-01-08,Rejected,3,0,0,0,1,1,157000.00,582
8706,Michael Davis,michael.davis8705@hotmail.com,14,B.Tech,17,1,1,2025-07-30,Screening,3,0,1,1,1,1,177000.00,379
7071,Arjun Nair,arjun.nair7070@gmail.com,4,MCA,20,1,2,2026-06-19,Rejected,3,0,0,0,1,1,120000.00,55
8326,Donald Mehta,donald.mehta8325@gmail.com,7,BS Computer Science,9,5,6,2025-03-22,Active,3,0,1,0,1,1,104000.00,509
7965,Megan Reddy,megan.reddy7964@gmail.com,3,Master's Degree,11,7,2,2026-07-06,Rejected,3,1,0,1,1,1,103000.00,38
8423,Richard Smith,richard.smith8422@outlook.com,5,BCA,19,1,5,2026-01-20,Withdrawn,3,1,0,0,1,1,110000.00,205
7967,Charles Miller,charles.miller7966@outlook.com,10,B.E.,10,7,7,2025-10-27,Interview,3,1,0,0,1,1,140000.00,290
737,Kevin Martin,kevin.martin736@gmail.com,7,MBA,7,2,1,2025-03-11,Active,3,0,0,0,1,1,102000.00,520
9999,Richard Hall,richard.hall9998@outlook.com,15,BS Computer Science,14,4,5,2025-07-15,Rejected,3,0,0,1,1,1,136000.00,394
